Best solution in generation 217 is:  f(x) = 33.0
Best solution in generation 218 is:  f(x) = 33.0
Best solution in generation 219 is:  f(x) = 33.0
Best solution in generation 220 is:  f(x) = 33.0
Best solution in generation 221 is:  f(x) = 33.0
Best solution in generation 222 is:  f(x) = 33.0
Best solution in generation 223 is:  f(x) = 33.0
Best solution in generation 224 is:  f(x) = 33.0
Best solution in generation 225 is:  f(x) = 33.0
Best solution in generation 226 is:  f(x) = 33.0
Best solution in generation 227 is:  f(x) = 33.0
Best solution in generation 228 is:  f(x) = 33.0
Best solution in generation 229 is:  f(x) = 33.0
Best solution in generation 230 is:  f(x) = 33.0
Best solution in generation 231 is:  f(x) = 33.0
Best solution in generation 232 is:  f(x) = 33.0
Best solution in generation 233 is:  f(x) = 33.0
Best solution in generation 234 is:  f(x) = 33.0
Best solution in generation 235 is:  f(x) = 33.0
Best solution in generation 236 is:  f(x) = 33.0
Best solution in generation 237 is:  f(x) = 33.0
Best solution in generation 238 is:  f(x) = 33.0
Best solution in generation 239 is:  f(x) = 33.0
Best solution in generation 240 is:  f(x) = 33.0
Best solution in generation 241 is:  f(x) = 33.0
Best solution in generation 242 is:  f(x) = 33.0
Best solution in generation 243 is:  f(x) = 33.0
Best solution in generation 244 is:  f(x) = 33.0
Best solution in generation 245 is:  f(x) = 33.0
Best solution in generation 246 is:  f(x) = 33.0
Best solution in generation 247 is:  f(x) = 33.0
Best solution in generation 248 is:  f(x) = 33.0
Best solution in generation 249 is:  f(x) = 33.0
Best solution in generation 250 is:  f(x) = 33.0
Best solution in generation 251 is:  f(x) = 33.0
Best solution in generation 252 is:  f(x) = 33.0
Best solution in generation 253 is:  f(x) = 33.0
Best solution in generation 254 is:  f(x) = 33.0
Best solution in generation 255 is:  f(x) = 33.0
Best solution in generation 256 is:  f(x) = 33.0
Best solution in generation 257 is:  f(x) = 33.0
Best solution in generation 258 is:  f(x) = 33.0
Best solution in generation 259 is:  f(x) = 33.0
Best solution in generation 260 is:  f(x) = 33.0
Best solution in generation 261 is:  f(x) = 33.0
Best solution in generation 262 is:  f(x) = 33.0
Best solution in generation 263 is:  f(x) = 33.0
Best solution in generation 264 is:  f(x) = 33.0
Best solution in generation 265 is:  f(x) = 33.0
Best solution in generation 266 is:  f(x) = 33.0
Best solution in generation 267 is:  f(x) = 33.0
Best solution in generation 268 is:  f(x) = 33.0
Best solution in generation 269 is:  f(x) = 33.0
Best solution in generation 270 is:  f(x) = 33.0
Best solution in generation 271 is:  f(x) = 33.0
Best solution in generation 272 is:  f(x) = 33.0
Best solution in generation 273 is:  f(x) = 33.0
Best solution in generation 274 is:  f(x) = 33.0
Best solution in generation 275 is:  f(x) = 33.0
Best solution in generation 276 is:  f(x) = 33.0
Best solution in generation 277 is:  f(x) = 33.0
Best solution in generation 278 is:  f(x) = 33.0
Best solution in generation 279 is:  f(x) = 33.0
Best solution in generation 280 is:  f(x) = 33.0
Best solution in generation 281 is:  f(x) = 33.0
Best solution in generation 282 is:  f(x) = 33.0
Best solution in generation 283 is:  f(x) = 33.0
Best solution in generation 284 is:  f(x) = 33.0
Best solution in generation 285 is:  f(x) = 33.0
Best solution in generation 286 is:  f(x) = 33.0
Best solution in generation 287 is:  f(x) = 33.0
Best solution in generation 288 is:  f(x) = 33.0
Best solution in generation 289 is:  f(x) = 33.0
Best solution in generation 290 is:  f(x) = 33.0
Best solution in generation 291 is:  f(x) = 33.0
Best solution in generation 292 is:  f(x) = 33.0
Best solution in generation 293 is:  f(x) = 33.0
Best solution in generation 294 is:  f(x) = 33.0
Best solution in generation 295 is:  f(x) = 33.0
Best solution in generation 296 is:  f(x) = 33.0
Best solution in generation 297 is:  f(x) = 33.0
Best solution in generation 298 is:  f(x) = 33.0
Best solution in generation 299 is:  f(x) = 33.0
Best solution in generation 300 is:  f(x) = 33.0
Best solution in generation 301 is:  f(x) = 33.0
Best solution in generation 302 is:  f(x) = 33.0
Best solution in generation 303 is:  f(x) = 33.0
Best solution in generation 304 is:  f(x) = 33.0
Best solution in generation 305 is:  f(x) = 33.0
Best solution in generation 306 is:  f(x) = 33.0
Best solution in generation 307 is:  f(x) = 33.0
Best solution in generation 308 is:  f(x) = 33.0
Best solution in generation 309 is:  f(x) = 33.0
Best solution in generation 310 is:  f(x) = 33.0
Best solution in generation 311 is:  f(x) = 33.0
Best solution in generation 312 is:  f(x) = 33.0
Best solution in generation 313 is:  f(x) = 33.0
Best solution in generation 314 is:  f(x) = 33.0
Best solution in generation 315 is:  f(x) = 33.0
Best solution in generation 316 is:  f(x) = 33.0
Best solution in generation 317 is:  f(x) = 33.0
Best solution in generation 318 is:  f(x) = 33.0
